species,energy,enthalpy,gibbs_energy,dipole,XX_quadrupole_moment,XY_quadrupole_moment,XZ_quadrupole_moment,YY_quadrupole_moment,YZ_quadrupole_moment,ZZ_quadrupole_moment,HOMO,LUMO,HOMO-LUMO_gap,SP_ox_energy,SP_red_energy,chemical_hardness,global_electrophilicity,electronegativity,AD_ox_energy,AD_red_energy
Ac4_rdkit_conf_1,-535.3382812283896,-535.178363,-535.22545,2.4283340009150307,-50.8901,4.6531,-0.2355,-61.6859,1.0538,-66.3058,-7.8643623933005,-0.4791924907305,7.3851699025699995,-535.0186541493107,-535.323456368987,0.15240110983813793,939652.1412848601,-535.1710552591488,-535.0284352389787,-535.3359363509078
Ac4_rdkit_conf_3,-535.3355634531492,-535.175991,-535.222595,2.6727614540022087,-52.8673,4.0434,1.4288,-63.7566,0.3417,-66.6812,-8.4145765990115,-0.539873879392,7.8747027196195,-534.9948289397346,-535.3227703664312,0.1639707133483057,873311.2608889185,-535.158799653083,,
Ac4_rdkit_conf_2,-535.3386233391682,-535.178665,-535.225687,3.5005458345806586,-59.7901,-3.198,-0.9029,-55.716,-0.4475,-66.221,-7.896199713809,-0.4898049309,7.4063947829089996,-535.0178594928251,-535.3241502955378,0.1531454013563689,935085.226010076,-535.1710048941815,-535.0275004755837,-535.3363872906158
Ac5_rdkit_conf_1,-538.7399203522282,-538.526689,-538.576067,1.588426293537097,-69.7037,3.7135,-2.4714,-69.0531,1.9254,-71.6174,-8.277431218359501,0.420143785172,8.697575003531501,-538.4059436014388,-538.6904315392665,0.1422439689138173,1019495.4223719581,-538.5481875703526,-538.4142315860735,-538.7077194370745
Ac5_rdkit_conf_2,-538.736838832223,-538.523672,-538.573501,1.6640829065884908,-62.8472,-1.1893,-0.1091,-68.2888,-4.7551,-75.7849,-8.1849125091895,0.5662689228905,8.75118143208,-538.4060323543814,-538.6834819907655,0.1387248181920313,1045344.5146224245,-538.5447571725734,,
Ac5_rdkit_conf_3,-538.7383687592328,-538.524959,-538.574145,1.5978462128753192,-68.2208,2.8334,-4.3523,-64.7736,2.146,-77.0243,-8.278519673761501,0.30476751256,8.5832871863215,-538.4043574144658,-538.6964413423757,0.14604196395492863,992990.3872018844,-538.5503993784207,,
Ac2_rdkit_conf_4,-630.2710098066069,-630.048612,-630.104636,1.0173006143711898,-54.4523,-3.3934,0.0008,-80.2813,0.0004,-71.0661,-8.9620696662175,0.945867744338,9.907937410555501,-629.9104319930386,-630.1961679410583,0.14286797400984597,1389279.7302914436,-630.0532999670485,-629.9252074374733,-630.2374177293538
Ac2_rdkit_conf_1,-630.268474841248,-630.045733,-630.10107,3.54419956830876,-75.3955,1.3843,7.4878,-66.3302,0.9835,-73.5845,-8.9408447858785,1.200022080705,10.140866866583501,-629.9083470223884,-630.1954379825308,0.14354548007122503,1382716.4291378695,-630.0518925024596,-629.9254189633364,-630.2344094593013
Ac2_rdkit_conf_3,-630.2703834410123,-630.047707,-630.103163,1.6104148099169977,-57.8872,-0.6447,-1.2075,-72.9213,3.5695,-72.7225,-9.077990166530501,1.2155325701835,10.293522736714001,,,,,,,
Ac7_rdkit_conf_3,-424.4307660569691,-424.234574,-424.278127,2.1063324072899796,-57.1801,-0.0004,-6.897,-54.4513,-0.0002,-57.2211,-9.2858851483125,1.4354005613875,10.7212857097,-424.05923993048856,-424.3422376752808,0.14149887239611303,635857.5999714338,-424.20073880288464,-424.072713618766,-424.38058123445785
Ac7_rdkit_conf_2,-424.43192748921723,-424.235959,-424.279133,1.7674994455444675,-52.6757,-4.0503,1.9545,-57.7994,2.5696,-56.2823,-9.457044760277,1.386147954447,10.843192714724001,-424.0539851598904,-424.34768450675455,0.14684967343208655,612688.9630316658,-424.20083483332246,-424.06771871399957,-424.3828239650059
Ac7_rdkit_conf_1,-424.4313534055888,-424.235325,-424.277848,1.5790837596530465,-52.4104,-2.7314,0.9758,-59.28,-2.4692,-54.132,-9.527794361407,1.143422399801,10.671216761208001,-424.0510626217824,-424.3572650115524,0.1531011948849823,587680.4969895412,-424.2041638166674,-424.0982739882186,-424.3827608840468
Ac3_rdkit_conf_1,-1095.0004369459298,-1094.859191,-1094.920611,2.1286816272049705,-100.9363,8.7674,0.0062,-89.7653,-0.0054,-94.3232,-9.8415416310335,-1.524381790501,8.3171598405325,-1094.6078430800883,-1095.0241008306105,0.2081288752610817,2879518.7860044814,-1094.8159719553494,-1094.6187589730214,-1095.0384887712958
